Part Name,HeadBone,TailBone,,Type:,Monster
Head,mixamorig6:Neck,mixamorig6:Head,,,
Body,mixamorig6:Hips,mixamorig6:Neck,,,
LeftLeg,mixamorig6:LeftUpLeg,mixamorig6:LeftFoot,,,
LeftArm,mixamorig6:LeftShoulder,mixamorig6:LeftHandMiddle1,,,
RightLeg,mixamorig6:RightUpLeg,mixamorig6:RightFoot,,,
RightArm,mixamorig6:RightShoulder,mixamorig6:RightHandMiddle1,,,
0,mixamorig6:Hips,mixamorig:LeftLeg,,,
0,mixamorig:LeftLeg,mixamorig:LeftFoot,,,
0,mixamorig:LeftFoot,mixamorig:LeftToeBase,,,
0,mixamorig:RightShoulder,mixamorig:RightArm,,,
0,mixamorig:RightArm,mixamorig:RightForeArm,,,
0,mixamorig:RightForeArm,mixamorig:RightHand,,,
0,mixamorig:RightUpLeg,mixamorig:RightLeg,,,
0,mixamorig:RightLeg,mixamorig:RightFoot,,,
0,mixamorig:RightFoot,mixamorig:RightToeBase,,,
